Rk,Player,Age,Yrs,G,FG%,3P%,FT%,MPG,PPG,TRB,AST
1,Ja Morant,20,2,79,0.474,0.326,0.779,30.7,17.9,3.6,7.3
2,Kendrick Nunn,24,2,84,0.444,0.347,0.849,29,14.9,2.8,3.1
3,RJ Barrett,19,2,82,0.412,0.309,0.65,31.8,15.2,5.4,2.7
4,Coby White,19,2,89,0.397,0.356,0.814,27.8,13.8,3.8,3.4
5,De'Andre Hunter,22,2,81,0.434,0.358,0.802,32.1,13.4,4.7,1.9
6,Zion Williamson,19,2,47,0.591,0.385,0.67,30.1,23.1,6.6,2.5
7,Eric Paschall,23,2,83,0.494,0.301,0.762,24.6,12.7,4.1,1.9
8,Tyler Herro,20,2,72,0.434,0.379,0.847,28.9,14.3,4.5,2.6
9,Darius Garland,20,2,77,0.415,0.364,0.88,31.2,13.1,2,4.3
10,P.J. Washington,21,2,82,0.445,0.362,0.677,29.9,11.9,5.8,2.4
11,Brandon Clarke,23,2,75,0.579,0.327,0.722,23.8,12.3,5.9,1.5
12,Rui Hachimura,21,2,63,0.463,0.307,0.803,29.8,13.5,6,1.9
13,Cam Reddish,20,2,78,0.379,0.31,0.806,27.2,10.7,3.8,1.5
14,Cameron Johnson,23,2,81,0.435,0.381,0.831,23.2,9.6,3.4,1.3
15,Michael Porter,21,2,69,0.509,0.429,0.827,18.4,10.4,5,0.9
16,Jarrett Culver,20,2,79,0.413,0.294,0.493,23.4,9,3.7,1.6
17,Terence Davis,22,2,92,0.454,0.39,0.87,16.2,7.4,3,1.4
18,Darius Bazley,19,2,85,0.393,0.316,0.719,22,7.4,5,0.9
19,Jordan Poole,20,2,72,0.343,0.286,0.819,19.7,8.1,1.9,2
20,Naz Reid,20,2,53,0.467,0.354,0.723,19.1,10.7,4.5,1.2
21,Jaxson Hayes,19,2,83,0.666,0.25,0.65,15.8,6.7,3.9,0.8
22,Luguentz Dort,20,2,59,0.404,0.317,0.782,25.2,8.7,2.7,1
23,Keldon Johnson,20,2,42,0.489,0.375,0.781,25.1,12.1,5.6,1.7
24,Kevin Porter,19,1,50,0.442,0.335,0.723,23.2,10,3.2,2.2
25,Nickeil Alexander-Walker,21,2,68,0.38,0.315,0.725,15,6.8,2.1,2
26,Nicolò Melli,29,2,72,0.409,0.326,0.744,16.3,5.8,2.9,1.3
27,Matisse Thybulle,22,2,88,0.406,0.333,0.585,19.1,4.3,1.6,1.1
28,Grant Williams,21,2,90,0.428,0.315,0.654,16.1,4,2.7,1
