Pk,Tm,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,TRB/G,AST/G,WS,WS/48,BPM,VORP
1,MIN,Anthony Edwards,Georgia,25,675,348,82,54,0.379,0.324,0.804,27,13.9,3.3,2.2,-0.4,-0.026,-5.4,-0.6
2,GSW,James Wiseman,Memphis,20,419,243,122,14,0.503,0.409,0.623,21,12.2,6.1,0.7,0.5,0.06,-4.1,-0.2
3,CHO,LaMelo Ball,,26,701,373,150,159,0.438,0.359,0.791,27,14.3,5.8,6.1,1.7,0.12,3,0.9
4,CHI,Patrick Williams,Florida State,23,629,237,101,24,0.466,0.396,0.8,27.3,10.3,4.4,1,0.6,0.044,-4.1,-0.3
5,CLE,Isaac Okoro,Auburn,21,709,167,48,39,0.401,0.276,0.674,33.8,8,2.3,1.9,0.1,0.008,-5.4,-0.6
6,ATL,Onyeka Okongwu,USC,7,73,21,21,2,0.5,,0.375,10.4,3,3,0.3,0.1,0.052,-4.4,0
7,DET,Killian Hayes,,7,148,32,8,25,0.277,0.25,0.5,21.1,4.6,1.1,3.6,-0.5,-0.177,-13.6,-0.4
8,NYK,Obi Toppin,Dayton,16,187,73,40,8,0.446,0.276,0.7,11.7,4.6,2.5,0.5,0.2,0.053,-2.1,0
9,WAS,Deni Avdija,,18,413,126,82,33,0.449,0.383,0.538,22.9,7,4.6,1.8,0.5,0.057,-2.4,0
10,PHO,Jalen Smith,Maryland,7,48,14,10,2,0.353,0.286,0,6.9,2,1.4,0.3,0,0.002,-4,0
11,SAS,Devin Vassell,Florida State,24,432,140,81,25,0.408,0.407,0.857,18,5.8,3.4,1,0.9,0.103,0.3,0.3
12,SAC,Tyrese Haliburton,Iowa State,22,646,264,79,117,0.495,0.455,0.867,29.4,12,3.6,5.3,1.7,0.129,2.8,0.8
13,NOP,Kira Lewis Jr.,Alabama,13,150,69,10,20,0.41,0.375,0.722,11.5,5.3,0.8,1.5,0.2,0.065,-4.2,-0.1
14,BOS,Aaron Nesmith,Vanderbilt,10,117,33,15,5,0.324,0.31,,11.7,3.3,1.5,0.5,-0.1,-0.053,-9.3,-0.2
15,ORL,Cole Anthony,UNC,25,667,275,111,94,0.375,0.325,0.836,26.7,11,4.4,3.8,0,-0.002,-4.1,-0.4
16,POR,Isaiah Stewart,Washington,23,412,127,122,15,0.535,0.333,0.667,17.9,5.5,5.3,0.7,1,0.119,-2.7,-0.1
