Rk,Player,Debut,Age,FG,3P,FT,MPG,PPG,TRB,AST
1,LaMelo Ball,"Dec 23, '20, CHO @ CLE",19,0.438,0.359,0.791,27,14.3,5.8,6.1
2,Anthony Edwards,"Dec 23, '20, MIN vs. DET",19,0.379,0.324,0.804,27,13.9,3.3,2.2
3,James Wiseman,"Dec 22, '20, GSW @ BRK",19,0.503,0.409,0.623,21,12.2,6.1,0.7
4,Tyrese Haliburton,"Dec 23, '20, SAC @ DEN",20,0.495,0.455,0.867,29.4,12,3.6,5.3
5,Immanuel Quickley,"Dec 23, '20, NYK @ IND",21,0.402,0.358,0.934,19,11.8,2.3,2.7
6,Cole Anthony,"Dec 23, '20, ORL vs. MIA",20,0.375,0.325,0.836,26.7,11,4.4,3.8
7,Desmond Bane,"Dec 23, '20, MEM vs. SAS",22,0.484,0.482,0.824,22.8,10.3,2.7,1.6
8,Patrick Williams,"Dec 23, '20, CHI vs. ATL",19,0.466,0.396,0.8,27.3,10.3,4.4,1
9,Jae'Sean Tate,"Dec 26, '20, HOU @ POR",25,0.544,0.313,0.725,26.5,9.2,5,1.6
10,Tyrese Maxey,"Dec 23, '20, PHI vs. WAS",20,0.459,0.294,0.857,17.5,8.8,2,1.8
11,Payton Pritchard,"Dec 23, '20, BOS vs. MIL",23,0.495,0.469,0.917,21.1,8.4,2.5,2.3
12,Isaac Okoro,"Dec 23, '20, CLE vs. CHO",20,0.401,0.276,0.674,33.8,8,2.3,1.9
13,Saddiq Bey,"Dec 26, '20, DET vs. CLE",21,0.375,0.376,0.789,18.8,7.9,3.1,0.7
14,Xavier Tillman,"Jan 3, '21, MEM vs. LAL",22,0.531,0.235,0.786,21.5,7.9,4.9,1.7
15,Théo Maledon,"Dec 26, '20, OKC @ CHO",19,0.397,0.366,0.632,22.7,7.5,2.6,2.9
16,Deni Avdija,"Dec 23, '20, WAS @ PHI",20,0.449,0.383,0.538,22.9,7,4.6,1.8
17,Precious Achiuwa,"Dec 23, '20, MIA @ ORL",21,0.589,,0.54,15,6.4,4.1,0.7
18,Mason Jones,"Jan 8, '21, HOU vs. ORL",22,0.525,0.515,0.524,11.3,6.1,1.9,1.4
19,Dakota Mathias,"Dec 27, '20, PHI @ CLE",25,0.396,0.308,0.333,15.4,6,0.9,1.6
20,Devin Vassell,"Dec 23, '20, SAS @ MEM",20,0.408,0.407,0.857,18,5.8,3.4,1
21,Isaiah Joe,"Dec 27, '20, PHI @ CLE",21,0.397,0.388,1,15.1,5.7,1.4,1
22,Dylan Windler,"Dec 23, '20, CLE vs. CHO",24,0.49,0.303,0.867,16.6,5.6,3.4,0.9
23,Isaiah Stewart,"Dec 28, '20, DET @ ATL",19,0.535,0.333,0.667,17.9,5.5,5.3,0.7
24,Kira Lewis,"Dec 29, '20, NOP @ PHO",19,0.41,0.375,0.722,11.5,5.3,0.8,1.5
25,Jaden McDaniels,"Dec 27, '20, MIN @ LAL",20,0.396,0.36,0.364,17.5,5.2,3.5,1
26,Jordan Nwora,"Dec 25, '20, MIL vs. GSW",22,0.459,0.5,0.9,8.2,5.1,1.5,0
27,Killian Hayes,"Dec 23, '20, DET @ MIN",19,0.277,0.25,0.5,21.1,4.6,1.1,3.6
28,Obi Toppin,"Dec 23, '20, NYK @ IND",22,0.446,0.276,0.7,11.7,4.6,2.5,0.5
29,Chuma Okeke,"Dec 23, '20, ORL vs. MIA",22,0.381,0.35,0.5,21.1,4.2,3.5,2.5
30,Devon Dotson,"Jan 1, '21, CHI @ MIL",21,0.5,,,10,4,1,0
31,Lamar Stevens,"Dec 27, '20, CLE vs. PHI",23,0.377,0.077,0.667,13.5,3.9,2.5,0.8
32,Facundo Campazzo,"Dec 23, '20, DEN vs. SAC",29,0.358,0.362,0.765,12,3.7,0.7,1.7
33,CJ Elleby,"Dec 23, '20, POR vs. UTA",20,0.52,0.267,0.667,8.4,3.6,1.2,0.3
34,Reggie Perry,"Dec 22, '20, BRK vs. GSW",20,0.412,0.167,0.667,10.5,3.6,3.6,0.9
35,Paul Reed,"Jan 4, '21, PHI vs. CHO",21,0.409,0,,11,3.6,2,0.6
36,Kenyon Martin,"Jan 8, '21, HOU vs. ORL",20,0.37,0.25,0.4,9.9,3.3,2.7,0.6
37,Aaron Nesmith,"Dec 25, '20, BOS vs. BRK",21,0.324,0.31,,11.7,3.3,1.5,0.5
38,Aleksej Pokusevski,"Dec 26, '20, OKC @ CHO",19,0.247,0.179,,17.4,3.3,3.5,1.2
39,Onyeka Okongwu,"Jan 15, '21, ATL @ UTA",20,0.5,,0.375,10.4,3,3,0.3
40,Nathan Knight,"Dec 23, '20, ATL @ CHI",23,0.389,0.429,0.833,5.5,2.8,1.5,0.1
41,Elijah Hughes,"Dec 23, '20, UTA @ POR",22,0.333,0.3,0.75,4.5,2.7,0.7,0.5
42,Josh Green,"Dec 23, '20, DAL @ PHO",20,0.472,0.167,0.545,12.5,2.5,2.3,0.6
43,Brodric Thomas,"Dec 26, '20, HOU @ POR",24,0.286,0.167,0.714,6,2.5,1,1
44,Saben Lee,"Jan 6, '21, DET @ MIL",21,0.357,0,0.8,8.8,2.3,0.4,1
45,Sean McDermott,"Dec 30, '20, MEM @ BOS",24,0.286,0.2,1,14,2.3,1,1
46,Malachi Flynn,"Dec 23, '20, TOR vs. NOP",22,0.282,0.217,0.5,8.2,2.2,0.7,1.2
47,Cassius Winston,"Jan 11, '21, WAS vs. PHO",22,0.4,0.429,1,7.3,2.2,0.7,1
48,Robert Woodard,"Dec 27, '20, SAC vs. PHO",21,0.545,0.333,0,2.8,2.2,1.3,0
49,Zeke Nnaji,"Dec 28, '20, DEN vs. HOU",20,0.529,0.556,,3.8,2.1,0.5,0
