"R#","PLAYER","POS","TEAM","GP","MPG","FG%","FT%","3PM","PTS","TREB","AST","STL","BLK","TO","TOTAL"
"1","Tyrese Haliburton","PG,SG","SAC","22","29.5","0.496  (4.60/9.20) good (i) 0.6226114100 (i)","0.868  (0.60/0.70)  (i) 0.1577384200 (i)","2.3 good (i) 0.7689112879 (i)","12.0  (i) -0.1028055811 (i)","3.6 bavg (i) -0.5537427358 (i)","5.3 vgood (i) 1.5301423714 (i)","1.2 good (i) 0.9373236250 (i)","0.7  (i) 0.4447343975 (i)","1.5  (i) 0.1142819760 (i)","3.78"
"2","LaMelo Ball","PG,SG","CHA","26","27.1","0.440  (5.30/12.10) bavg (i) -0.4467451100 (i)","0.791  (2.00/2.60)  (i) 0.1135444700 (i)","1.8  (i) 0.2242657923 (i)","14.5  (i) 0.2643572084 (i)","5.8  (i) 0.3164244204 (i)","6.1 vgood (i) 1.9522506118 (i)","1.5 vgood (i) 1.6403163438 (i)","0.3 bavg (i) -0.4447343975 (i)","2.5 bavg (i) 1.2571017360 (i)","3.31"
"3","Xavier Tillman","PF","MEM","15","22.2","0.531  (3.50/6.50) good (i) 0.8815670900 (i)","0.785  (0.70/0.90)  (i) -0.0207371600 (i)","0.3 ngood (i) -1.4203500179 (i)","7.9 bavg (i) -0.7049525558 (i)","4.9  (i) -0.0395530526 (i)","1.7 bavg (i) -0.3693447103 (i)","0.9  (i) 0.2343309063 (i)","0.8 good (i) 0.6671015962 (i)","0.7 good (i) -0.7999738320 (i)","-0.57"
"4","Jae'Sean Tate","SG","HOU","25","26.6","0.544  (3.70/6.80) good (i) 1.0816522700 (i)","0.725  (1.20/1.60) bavg (i) -0.3127572200 (i)","0.6 ngood (i) -1.0679323443 (i)","9.2 bavg (i) -0.5140279053 (i)","5.0  (i) 0.0000000000 (i)","1.6 bavg (i) -0.4221082404 (i)","0.8  (i) 0.0000000000 (i)","0.7  (i) 0.4447343975 (i)","1.2  (i) -0.2285639520 (i)","-0.73"
"5","Patrick Williams","SF,PF","CHI","23","27.4","0.466  (3.80/8.20)  (i) 0.1039548700 (i)","0.802  (1.70/2.20)  (i) 0.1669171700 (i)","0.9 bavg (i) -0.7368733175 (i)","10.3 bavg (i) -0.3524762779 (i)","4.4  (i) -0.2373183153 (i)","1.0 bavg (i) -0.7386894207 (i)","0.8  (i) 0.0000000000 (i)","0.7  (i) 0.4447343975 (i)","1.5  (i) 0.1142819760 (i)","-1.38"
"6","Immanuel Quickley","PG","NYK","22","19.0","0.402  (3.80/9.50) ngood (i) -1.0116038200 (i)","0.935  (2.60/2.80) good (i) 1.4859367300 (i)","1.6  (i) -0.0533966172 (i)","11.8  (i) -0.1321786042 (i)","2.3 ngood (i) -1.0679324190 (i)","2.7  (i) 0.1582905901 (i)","0.5 bavg (i) -0.7029927188 (i)","0.4  (i) -0.2223671987 (i)","1.0 good (i) -0.4571279040 (i)","-1.43"
"7","Payton Pritchard","PG","BOS","18","21.2","0.496  (3.10/6.20)  (i) 0.4262522200 (i)","0.910  (0.60/0.70)  (i) 0.2519055400 (i)","1.7  (i) 0.0747552641 (i)","8.4 bavg (i) -0.6315199979 (i)","2.5 bavg (i) -0.9888263139 (i)","2.3  (i) -0.0527635300 (i)","0.7  (i) -0.2343309063 (i)","0.3 bavg (i) -0.4447343975 (i)","1.3  (i) -0.1142819760 (i)","-1.57"
"8","Desmond Bane","PG,SG","MEM","20","25.7","0.484  (3.80/7.80)  (i) 0.3576941700 (i)","0.824  (0.70/0.90)  (i) 0.0866881400 (i)","2.1  (i) 0.4805695549 (i)","10.3 bavg (i) -0.3524762779 (i)","2.7 bavg (i) -0.9097202088 (i)","1.6 bavg (i) -0.4221082404 (i)","0.7  (i) -0.2343309063 (i)","0.2 bavg (i) -0.6671015962 (i)","1.2  (i) -0.2285639520 (i)","-1.60"
"9","James Wiseman","C","GSW","20","21.1","0.500  (4.90/9.80) good (i) 0.7433332000 (i)","0.623  (1.90/3.10) ngood (i) -1.5926821300 (i)","0.5 ngood (i) -1.2281221959 (i)","12.2  (i) -0.0734325579 (i)","6.1  (i) 0.4350835781 (i)","0.7 bavg (i) -0.8969800108 (i)","0.4 bavg (i) -0.9373236250 (i)","1.3 vgood (i) 1.7789375898 (i)","1.6  (i) 0.2285639520 (i)","-1.83"
"10","Cole Anthony","PG","ORL","25","26.8","0.375  (4.00/10.80) ngood (i) -1.6815352000 (i)","0.836  (1.80/2.20)  (i) 0.4283414000 (i)","1.1 bavg (i) -0.5553248190 (i)","11.0  (i) -0.2496706968 (i)","4.4  (i) -0.2373183153 (i)","3.8 good (i) 0.7386894207 (i)","0.7  (i) -0.2343309063 (i)","0.4  (i) -0.2223671987 (i)","2.0 bavg (i) 0.6856918560 (i)","-2.18"
