Pk,Tm,Player,FG%,3P%,FT%,PPG,REB,AST,WS/48,BPM,VORP,FG%z,3P%,FT%z,PPGz,REBz,ASTz,WS/48z,BPMz,VORPz,iScore,eScore
3,CHO,LaMelo Ball,0.449,0.378,0.802,15.8,6,6.3,0.124,3.1,1.3,0.14,0.33,0.50,2.62,2.29,3.58,0.91,1.87,3.70,9.46,6.49
12,SAC,Tyrese Haliburton,0.494,0.433,0.833,13.2,3.6,5.4,0.117,2.8,1.1,0.63,0.65,0.64,1.96,0.77,2.94,0.82,1.78,3.16,7.58,5.76
15,ORL,Cole Anthony,0.375,0.325,0.836,11,4.4,3.8,-0.009,-4.1,-0.4,-0.67,0.02,0.65,1.39,1.27,1.79,-0.78,-0.27,-0.95,4.46,-2.00
2,GSW,James Wiseman,0.51,0.37,0.629,11.8,5.9,0.7,0.057,-4.5,-0.3,0.80,0.28,-0.26,1.60,2.23,-0.44,0.06,-0.39,-0.67,4.22,-1.00
41,SAS,Tre Jones,0.6,1,1,2,0.3,0.3,0.117,-3.4,0,1.79,3.97,1.38,-0.90,-1.33,-0.72,0.82,-0.06,0.15,4.17,0.91
1,MIN,Anthony Edwards,0.371,0.302,0.805,14.9,4,2.5,-0.043,-5.1,-0.8,-0.72,-0.12,0.52,2.39,1.02,0.86,-1.21,-0.57,-2.04,3.95,-3.82
4,CHI,Patrick Williams,0.474,0.39,0.788,10.2,4.8,1.2,0.053,-3.5,-0.4,0.41,0.40,0.44,1.19,1.53,-0.08,0.01,-0.09,-0.95,3.89,-1.03
38,UTA,Saben Lee,0.543,0.667,0.667,7.1,1.5,2.3,0.129,-0.5,0.1,1.17,2.02,-0.09,0.40,-0.57,0.71,0.98,0.80,0.42,3.63,2.20
30,BOS,Desmond Bane,0.478,0.443,0.875,9.6,2.9,1.4,0.086,-1.9,0,0.45,0.71,0.82,1.04,0.32,0.07,0.43,0.38,0.15,3.41,0.96
25,OKC,Immanuel Quickley,0.389,0.381,0.942,12.2,2.3,2.4,0.146,2,0.6,-0.52,0.35,1.12,1.70,-0.06,0.78,1.19,1.54,1.79,3.37,4.53
26,BOS,Payton Pritchard,0.457,0.402,0.944,7.7,2.3,2.3,0.079,-1.9,0,0.22,0.47,1.13,0.55,-0.06,0.71,0.34,0.38,0.15,3.02,0.87
35,SAC,Xavier Tillman Sr.,0.513,0.286,0.739,7,4.6,1.7,0.116,-0.9,0.2,0.84,-0.21,0.23,0.37,1.40,0.28,0.81,0.68,0.70,2.91,2.19
19,BRK,Saddiq Bey,0.409,0.393,0.857,9.9,3.9,1.1,0.09,-0.8,0.3,-0.30,0.42,0.75,1.11,0.96,-0.15,0.48,0.71,0.97,2.78,2.16
34,PHI,Theo Maledon,0.394,0.354,0.75,7.8,3,3.3,0.023,-4.6,-0.5,-0.47,0.19,0.27,0.58,0.38,1.43,-0.37,-0.42,-1.22,2.39,-2.01
16,POR,Isaiah Stewart,0.555,0.2,0.688,5.4,5.8,0.7,0.116,-2.5,-0.1,1.30,-0.71,0.00,-0.04,2.17,-0.44,0.81,0.20,-0.12,2.28,0.89
21,PHI,Tyrese Maxey,0.45,0.273,0.88,8,1.9,1.8,0.059,-3.1,-0.1,0.15,-0.29,0.85,0.63,-0.32,0.35,0.09,0.03,-0.12,1.37,-0.01
9,WAS,Deni Avdija,0.433,0.356,0.579,5.9,4.7,1.3,0.041,-3.8,-0.3,-0.04,0.20,-0.48,0.09,1.47,-0.01,-0.14,-0.18,-0.67,1.23,-1.00
11,SAS,Devin Vassell,0.397,0.397,0.857,5.5,3.2,1.1,0.1,0.2,0.3,-0.43,0.44,0.75,-0.01,0.51,-0.15,0.61,1.01,0.97,1.10,2.58
5,CLE,Isaac Okoro,0.413,0.301,0.679,8.1,2.7,1.9,0.013,-4.9,-0.7,-0.26,-0.12,-0.04,0.65,0.19,0.42,-0.50,-0.51,-1.77,0.85,-2.77
45,MIL,Jordan Nwora,0.459,0.5,0.9,5.1,1.5,0,0.024,-5.4,-0.1,0.25,1.04,0.94,-0.11,-0.57,-0.94,-0.36,-0.66,-0.12,0.60,-1.14
8,NYK,Obi Toppin,0.486,0.295,0.714,4.7,2.5,0.6,0.083,-1.6,0,0.54,-0.16,0.12,-0.21,0.07,-0.51,0.39,0.47,0.15,-0.16,1.01
20,MIA,Precious Achiuwa,0.579,,0.543,6.1,4,0.6,0.111,-2.7,-0.1,1.56,-1.88,-0.64,0.14,1.02,-0.51,0.75,0.14,-0.12,-0.31,0.77
49,PHI,Isaiah Joe,0.367,0.383,1,4.3,1.2,0.8,0.083,-2.3,0,-0.76,0.36,1.38,-0.32,-0.76,-0.37,0.39,0.26,0.15,-0.47,0.80
22,DEN,Zeke Nnaji,0.508,0.417,0.714,3.6,1.4,0.1,0.09,-2.9,-0.1,0.78,0.56,0.12,-0.50,-0.63,-0.87,0.48,0.09,-0.12,-0.54,0.44
33,MIN,Daniel Oturu,0.6,0,1,2,1.4,0.4,0.209,0.5,0,1.79,-1.88,1.38,-0.90,-0.63,-0.65,1.99,1.10,0.15,-0.91,3.24
28,LAL,Jaden McDaniels,0.383,0.337,0.522,5.1,3.4,1,0.008,-4.8,-0.4,-0.59,0.09,-0.73,-0.11,0.64,-0.22,-0.56,-0.48,-0.95,-0.92,-1.99
50,ATL,Skylar Mays,0.388,0.348,0.889,3.9,0.8,1.1,0.138,1.5,0.1,-0.53,0.15,0.89,-0.42,-1.01,-0.15,1.09,1.39,0.42,-1.08,2.91
14,BOS,Aaron Nesmith,0.397,0.354,0.667,4.2,2.4,0.4,0.035,-4.7,-0.2,-0.43,0.19,-0.09,-0.34,0.00,-0.65,-0.22,-0.45,-0.40,-1.33,-1.07
13,NOP,Kira Lewis Jr.,0.389,0.333,0.65,5.2,0.8,1.8,0.029,-4.8,-0.2,-0.52,0.06,-0.17,-0.09,-1.01,0.35,-0.30,-0.48,-0.40,-1.37,-1.17
24,MIL,R.J. Hampton,0.414,0.278,0.7,2.5,2,0.5,0.019,-5.9,-0.2,-0.25,-0.26,0.05,-0.78,-0.25,-0.58,-0.42,-0.81,-0.40,-2.06,-1.63
6,ATL,Onyeka Okongwu,0.568,0,0.6,3.2,2.4,0.3,0.09,-3.6,-0.1,1.44,-1.88,-0.39,-0.60,0.00,-0.72,0.48,-0.12,-0.12,-2.15,0.23
7,DET,Killian Hayes,0.277,0.25,0.5,4.6,1.1,3.6,-0.177,-13.6,-0.4,-1.75,-0.42,-0.83,-0.24,-0.82,1.65,-2.92,-3.10,-0.95,-2.41,-6.96
18,DAL,Josh Green,0.472,0.167,0.545,2.5,2.3,0.6,0.015,-5.2,-0.2,0.39,-0.91,-0.63,-0.78,-0.06,-0.51,-0.47,-0.60,-0.40,-2.49,-1.47
46,POR,CJ Elleby,0.452,0.263,0.667,3,1.1,0.2,0.068,-4,-0.1,0.17,-0.34,-0.09,-0.65,-0.82,-0.80,0.20,-0.24,-0.12,-2.54,-0.17
39,NOP,Elijah Hughes,0.333,0.3,0.75,2.7,0.7,0.5,-0.07,-4.5,0,-1.13,-0.13,0.27,-0.72,-1.08,-0.58,-1.55,-0.39,0.15,-3.37,-1.80
27,UTA,Udoka Azubuike,0.571,,0.667,1,1.1,0,0.107,-4.3,0,1.47,-1.88,-0.09,-1.16,-0.82,-0.94,0.70,-0.33,0.15,-3.42,0.51
42,NOP,Nick Richards,0.5,,0.833,1.4,0.8,0,0.139,-5.7,0,0.69,-1.88,0.64,-1.06,-1.01,-0.94,1.10,-0.75,0.15,-3.56,0.51
48,GSW,Nico Mannion,0.261,0.357,0.25,2.6,1.7,2.6,-0.059,-6.6,-0.1,-1.92,0.21,-1.93,-0.75,-0.44,0.93,-1.41,-1.01,-0.12,-3.91,-2.55
40,MEM,Robert Woodard,0.545,0.333,0,2.2,1.3,0,0.003,-2,0,1.19,0.06,-3.03,-0.85,-0.70,-0.94,-0.63,0.35,0.15,-4.27,-0.12
29,TOR,Malachi Flynn,0.267,0.192,0.667,2.2,0.7,1.1,-0.067,-8.7,-0.2,-1.86,-0.76,-0.09,-0.85,-1.08,-0.15,-1.52,-1.64,-0.40,-4.79,-3.55
43,SAC,Jahmi'us Ramsey,0.5,0.333,,1.3,1,0.3,0.015,-3.9,0,0.69,0.06,-3.03,-1.08,-0.89,-0.72,-0.47,-0.21,0.15,-4.96,-0.54
17,MIN,Aleksej Pokusevski,0.247,0.179,,3.3,3.5,1.2,-0.123,-7.2,-0.4,-2.08,-0.84,-3.03,-0.57,0.70,-0.08,-2.23,-1.19,-0.95,-5.89,-4.37
36,PHI,Tyler Bey,0.4,,0.5,1.5,0.8,0,0.067,-4.5,0,-0.40,-1.88,-0.83,-1.03,-1.01,-0.94,0.19,-0.39,0.15,-6.10,-0.05
32,CHO,Vernon Carey Jr.,0.333,0,0.5,1,1,0.3,0.198,7.4,0,-1.13,-1.88,-0.83,-1.16,-0.89,-0.72,1.85,3.15,0.15,-6.61,5.15
10,PHO,Jalen Smith,0.368,0.25,0,1.5,1,0.2,0.009,-4.2,0,-0.75,-0.42,-3.03,-1.03,-0.89,-0.80,-0.55,-0.30,0.15,-6.92,-0.70
31,DAL,Tyrell Terry,0.313,0,0.333,1,0.5,0.5,-0.057,-5.5,-0.1,-1.35,-1.88,-1.56,-1.16,-1.21,-0.58,-1.39,-0.69,-0.12,-7.74,-2.20
,,,,,,,,,,,,,,,,,,,,,,
,,mean,0.436543478,0.321904762,0.68775,5.539130435,2.395652174,1.308695652,0.052195652,-3.186956522,-0.054347826,,,,,,,,,,,
,,std,0.091330585,0.171004466,0.226975065,3.917225677,1.572112029,1.392651522,0.078624457,3.363636174,0.365578094,,,,,,,,,,,
