Totals,,,,,,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Precious Achiuwa,"Dec 23, '20, MIA @ ORL",21,1,18,291,54,85,0,0,29,53,31,90,16,7,11,22,41,137,0.635,,0.547,16.2,7.6,5,0.9
2,Ty-Shon Alexander,"Dec 27, '20, PHO @ SAC",22,1,3,8,0,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,,2.7,0,0.3,0.3
3,Cole Anthony,"Dec 23, '20, ORL vs. MIA",20,1,19,498,74,204,22,64,35,41,16,85,66,12,9,33,42,205,0.363,0.344,0.854,26.2,10.8,4.5,3.5
4,Deni Avdija,"Dec 23, '20, WAS @ PHI",20,1,11,255,28,62,16,35,5,8,4,44,24,11,3,7,29,77,0.452,0.457,0.625,23.2,7,4,2.2
5,Udoka Azubuike,"Dec 23, '20, UTA @ POR",21,1,11,46,4,7,0,0,4,6,4,11,0,1,4,3,7,12,0.571,,0.667,4.2,1.1,1,0
6,LaMelo Ball,"Dec 23, '20, CHO @ CLE",19,1,18,440,75,186,24,78,26,37,26,107,105,24,7,43,45,200,0.403,0.308,0.703,24.4,11.1,5.9,5.8
7,Desmond Bane,"Dec 23, '20, MEM vs. SAS",22,1,13,285,41,87,23,47,7,9,5,36,14,9,0,14,24,112,0.471,0.489,0.778,21.9,8.6,2.8,1.1
8,Saddiq Bey,"Dec 26, '20, DET vs. CLE",21,1,17,315,39,110,29,77,22,27,6,55,11,7,0,13,24,129,0.355,0.377,0.815,18.5,7.6,3.2,0.6
9,Tyler Bey,"Jan 13, '21, DAL @ CHO",22,1,4,13,2,5,0,0,2,4,2,3,0,0,1,0,2,6,0.4,,0.5,3.3,1.5,0.8,0
10,Keljin Blevins,"Dec 23, '20, POR vs. UTA",25,1,5,24,1,6,0,3,0,0,0,0,4,1,0,3,3,2,0.167,0,,4.8,0.4,0,0.8
11,Facundo Campazzo,"Dec 23, '20, DEN vs. SAC",29,1,17,209,19,55,14,39,10,13,3,13,24,13,2,12,31,62,0.345,0.359,0.769,12.3,3.6,0.8,1.4
12,Vernon Carey,"Dec 30, '20, CHO @ DAL",19,1,3,6,1,3,0,1,1,2,2,3,1,0,1,0,0,3,0.333,0,0.5,2,1,1,0.3
13,Devon Dotson,"Jan 1, '21, CHI @ MIL",21,1,1,10,2,4,0,0,0,0,0,1,0,0,0,0,1,4,0.5,,,10,4,1,0
14,Anthony Edwards,"Dec 23, '20, MIN vs. DET",19,1,17,429,81,228,28,92,31,38,16,48,28,13,2,33,26,221,0.355,0.304,0.816,25.2,13,2.8,1.6
15,CJ Elleby,"Dec 23, '20, POR vs. UTA",20,1,6,34,5,8,2,5,2,3,1,2,2,0,1,1,7,14,0.625,0.4,0.667,5.7,2.3,0.3,0.3
16,Malachi Flynn,"Dec 23, '20, TOR vs. NOP",22,1,11,101,10,37,5,22,0,2,0,8,16,4,0,3,10,25,0.27,0.227,0,9.2,2.3,0.7,1.5
17,Trent Forrest,"Jan 5, '21, UTA @ BRK",22,1,2,9,0,0,0,0,2,2,0,0,1,1,0,0,2,2,,,1,4.5,1,0,0.5
18,Anthony Gill,"Dec 29, '20, WAS vs. CHI",28,1,7,58,3,10,1,7,2,2,2,16,3,3,0,3,3,9,0.3,0.143,1,8.3,1.3,2.3,0.4
19,Josh Green,"Dec 23, '20, DAL @ PHO",20,1,15,198,14,33,1,11,6,10,12,38,9,4,0,11,16,35,0.424,0.091,0.6,13.2,2.3,2.5,0.6
20,Ashton Hagans,"Jan 25, '21, MIN @ GSW",21,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,2,0,0,0
21,Tyrese Haliburton,"Dec 23, '20, SAC @ DEN",20,1,15,422,63,130,32,70,9,11,12,44,75,17,11,23,19,167,0.485,0.457,0.818,28.1,11.1,2.9,5
22,Josh Hall,"Dec 29, '20, OKC vs. ORL",20,1,5,39,3,16,1,8,2,5,1,6,5,0,0,3,6,9,0.188,0.125,0.4,7.8,1.8,1.2,1
23,R.J. Hampton,"Dec 28, '20, DEN vs. HOU",19,1,11,36,3,10,0,2,2,2,2,5,0,2,0,3,4,8,0.3,0,1,3.3,0.7,0.5,0
24,Jalen Harris,"Jan 8, '21, TOR @ SAC",22,1,2,4,0,0,0,0,0,0,1,1,0,0,0,1,2,0,,,,2,0,0.5,0
25,Killian Hayes,"Dec 23, '20, DET @ MIN",19,1,7,148,13,47,5,20,1,2,1,8,25,2,0,17,15,32,0.277,0.25,0.5,21.1,4.6,1.1,3.6
26,Nate Hinton,"Jan 3, '21, DAL @ CHI",21,1,6,19,3,13,1,5,1,2,0,0,0,1,1,2,1,8,0.231,0.2,0.5,3.2,1.3,0,0
27,Markus Howard,"Dec 25, '20, DEN vs. LAC",21,1,7,13,4,11,2,8,0,0,0,0,3,0,0,0,2,10,0.364,0.25,,1.9,1.4,0,0.4
28,Elijah Hughes,"Dec 23, '20, UTA @ POR",22,1,6,27,5,15,3,10,3,4,0,4,3,1,1,4,0,16,0.333,0.3,0.75,4.5,2.7,0.7,0.5
29,Isaiah Joe,"Dec 27, '20, PHI @ CLE",21,1,10,182,21,58,17,46,5,5,4,16,13,4,4,4,18,64,0.362,0.37,1,18.2,6.4,1.6,1.3
30,Mason Jones,"Jan 8, '21, HOU vs. ORL",22,1,9,120,27,47,14,24,9,17,3,20,13,4,0,14,10,77,0.574,0.583,0.529,13.3,8.6,2.2,1.4
31,Tre Jones,"Dec 30, '20, SAS vs. LAL",21,1,7,23,6,10,1,1,3,3,3,3,1,0,0,2,2,16,0.6,1,1,3.3,2.3,0.4,0.1
32,Nathan Knight,"Dec 23, '20, ATL @ CHI",23,1,7,40,5,15,3,7,4,5,6,11,1,0,3,4,6,17,0.333,0.429,0.8,5.7,2.4,1.6,0.1
33,Saben Lee,"Jan 6, '21, DET @ MIL",21,1,5,50,4,11,0,1,6,8,1,3,6,4,0,5,6,14,0.364,0,0.75,10,2.8,0.6,1.2
34,Kira Lewis,"Dec 29, '20, NOP @ PHO",19,1,7,60,9,29,2,8,5,6,0,4,9,1,1,1,6,25,0.31,0.25,0.833,8.6,3.6,0.6,1.3
35,Théo Maledon,"Dec 26, '20, OKC @ CHO",19,1,17,348,41,110,20,63,5,11,4,45,46,10,0,29,37,107,0.373,0.317,0.455,20.5,6.3,2.6,2.7
36,Karim Mané,"Dec 31, '20, ORL vs. PHI",20,1,6,56,1,9,1,2,4,4,0,10,1,0,1,3,3,7,0.111,0.5,1,9.3,1.2,1.7,0.2
37,Nico Mannion,"Jan 4, '21, GSW vs. SAC",19,1,6,36,3,13,2,9,1,4,0,8,12,2,0,2,5,9,0.231,0.222,0.25,6,1.5,1.3,2
